02/12/19,1,1
03/12/19,1,1
04/12/19,1,1
05/12/19,0,0
06/12/19,0,0
07/12/19,0,0
08/12/19,0,0
09/12/19,0,0
10/12/19,0,0
11/12/19,0,0
12/12/19,0,0
13/12/19,0,0
14/12/19,0,0
15/12/19,0,0
16/12/19,0,0
17/12/19,0,0
18/12/19,0,0
19/12/19,0,0
20/12/19,0,0
21/12/19,0,0
22/12/19,0,0
23/12/19,0,0
24/12/19,0,0
25/12/19,0,0
26/12/19,0,0
27/12/19,0,0
28/12/19,0,0
29/12/19,0,0
30/12/19,0,0
31/12/19,0,0
01/01/20,0,0
02/01/20,0,0
03/01/20,0,0
04/01/20,0,0
05/01/20,0,0
06/01/20,0,0
07/01/20,0,0
08/01/20,0,0
09/01/20,0,0
10/01/20,0,0
11/01/20,0,0
12/01/20,0,0
13/01/20,0,0
14/01/20,0,0
15/01/20,0,0
16/01/20,0,0
17/01/20,0,0
18/01/20,0,0
19/01/20,0,0
20/01/20,0,0
21/01/20,0,0
22/01/20,0,0
23/01/20,0,0
24/01/20,0,0
25/01/20,0,0
26/01/20,0,0
27/01/20,0,0
28/01/20,0,0
29/01/20,0,0
30/01/20,0,0
31/01/20,0,0
01/02/20,0,0
02/02/20,0,0
03/02/20,0,0
04/02/20,0,0
05/02/20,0,0
06/02/20,0,0
07/02/20,0,0
08/02/20,0,0
09/02/20,0,0
10/02/20,0,0
11/02/20,0,0
12/02/20,0,0
13/02/20,0,0
14/02/20,0,0
15/02/20,0,0
16/02/20,0,0
17/02/20,0,0
18/02/20,0,0
19/02/20,0,0
20/02/20,0,0
21/02/20,0,0
22/02/20,0,0
23/02/20,0,0
24/02/20,0,0
25/02/20,0,0
26/02/20,0,0
27/02/20,0,0
28/02/20,0,0
29/02/20,0,0
01/03/20,0,0
02/03/20,1,0
03/03/20,0,0
04/03/20,0,0
05/03/20,1,0
06/03/20,0,0
07/03/20,0,0
08/03/20,0,0
09/03/20,0,0
10/03/20,0,0
11/03/20,0,0
12/03/20,0,0
13/03/20,0,0
14/03/20,0,0
15/03/20,0,0
16/03/20,0,0
17/03/20,0,0
18/03/20,0,0
19/03/20,0,0
20/03/20,0,0
21/03/20,0,0
22/03/20,0,0
23/03/20,0,0
24/03/20,0,0
25/03/20,0,0
26/03/20,0,0
27/03/20,0,0
28/03/20,0,0
29/03/20,0,0
30/03/20,0,0
31/03/20,0,0
01/04/20,0,0
02/04/20,0,0
03/04/20,0,0
04/04/20,0,0
05/04/20,0,0
06/04/20,0,0
07/04/20,0,0
08/04/20,0,0
09/04/20,0,0
10/04/20,0,0
11/04/20,0,0
12/04/20,0,0
